55918			Cairo, Egyptian Library F-G + Heidelberg, Institut für Papyrologie P. Dem. 683 A-D + Leiden, National Museum of Antiquities F 1895 / 5 . 1 (P. Insinger) Ro + Paris, Académie des Inscriptions et des Belles Lettres Fonds Seymour de Ricci Objet 193-200 Complément + Philadelphia, University of Pennsylvania Museum E 16333 A + Philadelphia, University of Pennsylvania Museum E 16334 A + Philadelphia, University of Pennsylvania Museum E 16335	Lexa, Papyrus Insinger 1 p. 1-113 + Lichtheim, Wisdom literature in international context p. 107-109 descr. + Journal of Egyptian Archaeology (JEA) 16 (1930), p. 4 no. F-G + Texte aus der Umwelt des Alten Testamentes (TUAT) 3.2 (1991), p. 280-319 + Short Texts 2 1139 + Dem. Conf. VII (Copenhagen 1999) p. 2-19 + Enchoria 32 (2010-2011), p. 88	
134340			Cairo, Egyptian Museum (Grabung Heidelberg Nr. 1001 / 1002)	Totenbuch-Projekt (online) - TM 134340	
248			Cairo, Egyptian Museum CG 10349 + Heidelberg, Institut für Papyrologie P. G 1285 + London, British Library Pap 607	P. Dryton 2	
454			Cairo, Egyptian Museum CG 30762 + Heidelberg, Institut für Papyrologie P. Dem. 692 + Heidelberg, Institut für Papyrologie P. Dem. 693 + Heidelberg, Institut für Papyrologie P. Dem. 694 + Heidelberg, Institut für Papyrologie P. Dem. 695	P. Cairo 2 30762 + MDAI Kairo 43 (1987), p. 157 n. 3 descr. + Studien zur Altägyptischen Kultur (SAK) 1 (1974), p. 239 n. 53 descr.	
533			Cairo, Egyptian Museum CG 30815 + Cairo, Egyptian Museum CG 31030 + Heidelberg, Institut für Papyrologie P. Dem. 667 + London, British Museum EA 69530	P. Cairo 2 30815 descr. + P. Cairo 2 31030 descr. + Zeitschrift für Ägyptische Sprache und Altertumskunde (ZÄS) 121 (1994), p. 90 [BM] descr.	
569			Cairo, Egyptian Museum CG 30977 + Heidelberg, Institut für Papyrologie P. Dem. 696 + London, British Museum EA 69862	Lepper (ed.), Forschung in der Papyrussammlung p. 290-291 & 301-303 + Jerusalem studies in egyptology p. 61 n. 30 [BM 080] descr.	
91300			Copenhagen, Carlsberg Papyrus Collection P. 9 Vo [Demotic] + Heidelberg, Institut für Papyrologie P. Dem. 40 Vo [Demotic] + Heidelberg, Institut für Papyrologie P. Dem. 41 Vo [Demotic]	Enchoria 24 (1997-1998), p. 35 [40-41 Vo Demotic] descr.	
113115			Copenhagen, Carlsberg Papyrus Collection P. 9 Vo [Hieroglyphic] + Heidelberg, Institut für Papyrologie P. Dem. 40 Vo [Hieroglyphic] + Heidelberg, Institut für Papyrologie P. Dem. 41 Vo [Hieroglyphic]	Enchoria 24 (1997-1998), p. 35 no. 40-41 [Vo Hieroglyphic] descr.	
133556			Frankfurt, Liebieghaus C 1561 + Heidelberg, Seminar für Ägyptologie 1152 [2] + St Petersburg, Hermitage Museum 18127 + Strasbourg, Bibliothèque Nationale 5 (P. Geslin) + Würzburg, Martin-von-Wagner Museum H 394	Totenbuch-Projekt (online) - TM 133556	
128351			Heidelberg, Archäologisches Institut 983	P. Clackson 16	
128348			Heidelberg, Archäologisches Institut 988	P. Clackson 13	
128350			Heidelberg, Archäologisches Institut 990	P. Clackson 15	
128349			Heidelberg, Archäologisches Institut 991	P. Clackson 14	
369929			Heidelberg, Archäologisches Institut number unknown	Browne, Old Nubian literary texts p. 55 [a?]	
369926			Heidelberg, Archäologisches Institut number unknown	Browne, Old Nubian literary texts p. 55 [b?]	
