"\N","\N","1270,4","\N","\N","1010","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","|2,8|","\N","1997-06-05","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,3|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","691,1+2","T","\N","\N","\N","\N","\N","\N","Syr.","\N","1","\N","\N","? A. Schall, Heidelberg
12.1.1983 K. Beyer, Heidelberg
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","s. eigenen Datensatz","Vorderseite","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1270,4","\N","\N","1010","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","|2,8|","\N","1998-07-03","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,3|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","691,1+2","T","\N","\N","\N","\N","\N","\N","Syr.","\N","1","\N","\N","? A. Schall, Heidelberg
12.1.1983 K. Beyer, Heidelberg
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","s. eigenen Datensatz","Rückseite","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","4142","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","|12,5|","\N","1998-07-03","\N","\N","\N","\N","\N","\N","\N","1959","\N","Siegmann, E.","\N","\N","\N","\N","|10,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","691,2","T","\N","\N","\N","\N","\N","\N","Syr.","\N","2","\N","\N","12.1.1983 K. Beyer, Heidelberg
21.6.1983 A. Schall ,Heidelberg
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","verso frei","recto","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","PSR","670","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","||","fehlt","1998-07-03","\N","\N","\N","\N","\N","Geschenk Schott","\N","1904","\N","Schott","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","C.H. Becker, PSR I, S. 8.","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","\N","\N","\N","\N","Syr.","\N","3","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","Nr. 71, 18 x 24","\N","PSR","1118","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","C.H. Becker, PSR I, S. 8; unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","||","fehlt","1998-07-03","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","||","Heiligenkalender, syrisch-arabisch","\N","\N","\N","12","14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","1270,4","T","\N","\N","\N","\N","\N","\N","Syr.","\N","4","\N","\N","12.1.1983 K. Beyer, Heidelberg
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","|13,5|","\N","1998-07-03","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|14,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","1106 c 3-6","T","\N","\N","\N","\N","\N","\N","Syr.","\N","5","\N","\N","Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","s. eigenen Datensatz","Vorderseite","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","unveröffentlicht - in Bearbeitung
Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","|13,5|","\N","1998-07-03","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|14,0|","Zahlen (griech?) teilweise sehr verblaßt.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","1106 c 3-6","T","\N","\N","\N","\N","\N","\N","Syr.","\N","5","\N","\N","Scan an Petersen / Larsen (Koppenhagen Sept. 2012)","\N","\N","\N","s. eigenen Datensatz","Rückseite","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
