name,type,arab,cop,dem,gr,hebr,ostr,syr usw.,to delete,tf_arab,,tf_cop,,tf_dem,,tf_gr,,tf_hebr,,tf_ostr,,"tf_syr,pah,lat,hier,aram",,label,type,length,length,original length,
D2,,D2,D2,D2,D2,D2,D2,D2,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
D3,,D3,D3,D3,D3,D3,D3,D3,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
D4,,D4,D4,D4,D4,D4,D4,D4,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Datierung,,Datierung,Datierung,Datierung,Datierung,Datierung,Datierung,Datierung,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Datierung2,,Datierung2,Datierung2,Datierung2,Datierung2,Datierung2,Datierung2,Datierung2,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Eigenart,string,Eigenart,Eigenart,Eigenart,Eigenart,Eigenart,Eigenart,Eigenart,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Eigenart,string,,1024,eigenart,346
eingegeben am,date,eingegeben am,eingegeben am,eingegeben am,eingegeben am,eingegeben am,eingegeben am,eingegeben am,,KEEP,date,KEEP,date,KEEP,date,KEEP,date,KEEP,date,KEEP,date,KEEP,date,eingegeben am,date,32,32,eingegeben_am,10
Erg,string,Erg,Erg,Erg,Erg,Erg,Erg,Erg,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Erg,string,64,64,erg1,12
Erg2,string,Erg2,Erg2,Erg2,Erg2,Erg2,Erg2,Erg2,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Erg2,string,32,32,erg2,7
Erg2Hig,string,Erg2Hig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,Erg2Hig,string,,,erg2hig,0
ErgHig,string,ErgHig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,ErgHig,string,,,erghig,0
Erhaltungszustand,string,Erhaltungszustand,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,Erhaltungszustand,text,,8192,erhaltungszustand,1768
Erw.Bem.,string,Erw.Bem.,Erw.Bem.,Erw.Bem.,Erw.Bem.,Erw.Bem.,Erw.Bem.,Erw.Bem.,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Erw.Bem.,string,256,256,erw_bem,46
Erwähnte Daten,string,Erwähnte Daten,Erwähnte Daten,Erwähnte Daten,Erwähnte Daten,Erwähnte Daten,Erwähnte Daten,Erwähnte Daten,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Erwähnte Daten,string,,1024,erwaehnte_daten,318
erworben durch: Jahr,string,erworben durch: Jahr,erworben durch: Jahr,erworben durch: Jahr,erworben durch: Jahr,erworben durch: Jahr,erworben durch: Jahr,erworben durch: Jahr,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,erworben durch: Jahr,string,32,32,erworben_durch_jahr,8
erworben durch: Monat,string,erworben durch: Monat,erworben durch: Monat,erworben durch: Monat,erworben durch: Monat,erworben durch: Monat,erworben durch: Monat,erworben durch: Monat,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,erworben durch: Monat,string,32,32,erworben_durch_monat,8
erworben durch: Name,string,erworben durch: Name,erworben durch: Name,erworben durch: Name,erworben durch: Name,erworben durch: Name,erworben durch: Name,erworben durch: Name,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,erworben durch: Name,string,256,256,erworben_durch_name,83
fertig,boolean,fertig,,,,,,,,KEEP,boolean,INSERT,boolean,INSERT,boolean,INSERT,boolean,INSERT,boolean,INSERT,boolean,INSERT,boolean,fertig,boolean,4,4,fertig,1
Fundort,string,Fundort,Fundort,Fundort,Fundort,Fundort,Fundort,Fundort,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Fundort,string,64,64,fundort,20
gerahmte Nummer,string,,,,,,gerahmte Nummer,,,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,KEEP,string,INSERT,string,gerahmte Nummer,string,16,16,gerahmte_nummer,3
Herkunft,string,Herkunft,Herkunft,Herkunft,Herkunft,Herkunft:,Herkunft:,Herkunft:,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Herkunft,string,256,256,herkunft,48
Hoehe,list:string,Hoehe,Hoehe,Hoehe,Hoehe,Höhe,Höhe,Höhe,,KEEP,list:string,KEEP,list:string,KEEP,list:string,KEEP,list:string,KEEP,list:string,KEEP,list:string,KEEP,list:string,Hoehe,list:string,,1024,hoehe,198
