"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|13,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|8,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 f 33+35","T","\N","269","G","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|8,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1282 d 1; 209 g 37+39","T","\N","282","G","\N","\N","\N","12","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|12,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|9,5|","\N","124","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","3","\N","\N","Ostrakon","\N","\N","209 g 41-47","T","\N","259","G","\N","\N","\N","13","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","23","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|11,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|9,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","210 a 49+51","T","\N","\N","G","\N","\N","\N","14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","15","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","\N","\N","\N","|5,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","Marc Aurel 14. Jahr","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","210 e 29+31","T","\N","\N","G","\N","\N","\N","27","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|16,5|","zusammengesetzt mit 47 und 347.","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|12,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","225 c 30+32","T","\N","\N","G","\N","\N","\N","16","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|11,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|8,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","210 a 57+59","T","\N","\N","G","\N","\N","\N","17","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|11,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","210 b 61+63","T","\N","\N","G","\N","\N","\N","18","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","||","fehlt oder freie Nummer; s. 61.","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","\N","T","\N","\N","G","\N","\N","\N","19","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|9,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|6,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1283 a 2; 210 b 65+67","T","\N","266","G","\N","\N","\N","20","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
