"\N","\N","1299 2-4","\N","\N","914","\N","\N","\N","\N","literarisch","\N","\N","T","\N","\N","vermutlich aus der Kairoer Genisa.","\N","\N","|19,6|","\N","1997-06-05","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|33,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","647 e 9-11","T","\N","\N","\N","\N","\N","\N","\N","\N","1","\N","\N","12.7.72 Prof. Dietrich, Göttingen
28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","Christa Schüßler, Und die Heiligen singen in Zion, Magisterarbeit, Hochschule für Jüdische Studien, Heidelberg 1996, 7-27.","\N","\N","s. eigenen Datensatz","Vorderseite","\N","\N","Aram.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","PSR","1451","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","vorwiegend arabisch mit wenigen hebräischen Zeilen; unveröffentlicht","\N","\N","|30,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1904","\N","F. Schott","\N","\N","\N","\N","|24,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","KB 647 e 5-7","T","\N","\N","\N","\N","\N","\N","\N","\N","2","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","s. eigenen Datensatz","Vorderseite","\N","\N","Aram. (arab)","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1299 2-4","\N","\N","914","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|19,6|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|33,0|","18 Zeilen von drei arabischen Briefen","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","647 e 9-11","T","\N","\N","\N","\N","\N","\N","\N","\N","1","\N","\N","\N","\N","\N","\N","s. eigenen Datensatz","Rückseite","\N","\N","Aram. (arab)","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","PSR","1451","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","arabisch, unveröffentlicht","\N","\N","|30,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1904","\N","F. Schott","\N","\N","\N","\N","|24,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","\N","T","\N","\N","\N","\N","\N","\N","\N","\N","2","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","s. eigenen Datensatz","Rückseite","\N","\N","Aram. (arab)","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
