"\N","\N","\N","\N","\N","3090","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","Datierung: wahrscheinlich erheblich vor 70 n.Chr. (K.G. Kuhn).","\N","\N","||","vier Stücke: 4 Q phyl a Vs; 4 Q phyl b Vs; 4 Q phyl c Vs; 4 Q phyl d Vs.","1997-06-21","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","||","Vier Phylakterien aus Qumran; winzige Schrift.","70","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","671 c 1+9; d 3+5","T","\N","\N","\N","\N","\N","\N","9","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","K.G. Kuhn, Phylakterien aus der Höhle 4 von Qumran; Abhandlungen der Heidelberger Ademie der Wissenschaften, Phil.-hist. Klasse 1957; 1. Abteilung.","\N","\N","\N","\N","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 d 2; Glasplatte VB 251+252; Repro alte Aufnahme = 1398 c 4","\N","\N","910","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","\N","\N","\N","|18,0|","Achtung:  nicht mit der alten Inv. Nr.  PSR 910 verwechseln! s. PSR Heid. Arab. 910.","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|28,0|","Auf der linken Hälfte hebräischer Brief in 32 Zeilen, darunter und am Rand 4 arabische und 2 hebräische Zeilen. In der vorletzten Zeile wird eine Straße genannt, derunter der Laden eines … Auf der rechten Hälfte arabische Abrechnung in 12 Zeilen mit griechischen Zahlzeichen, darunter eine andere Abrechnung (7 Zeilen) für mehrere Wochentage des Rabi …; griechische Zahlzeichen.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671 e 22-24; 1108 c 3-6","T","\N","\N","\N","\N","\N","\N","10","Hebr. (arab)","\N","\N","\N","8.3.56 Prof. Goitein, Jerusalem
19.11.74 Jewish National University, Jerusalem
28.2.75 Jewish National University, Jerusalem
14.1.77 Academy of the Hebrew Language, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
Prof. N. Gil, Tel Aviv University, House of Jewish Communities Diaspora Research Institute
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","A.S. Kamenetzky, Revue des Etudes Juives 55 (1908) 48-53; vgl. ebd. Peznansky, 244-248 und Kemenetzky Revue des Etudes Juives 56 (1909) 254-256; J. Mann, Texts and Studies in Jewish History, Cincinnati 1931, 117 u. 17 u. 179f.","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1269 a 1","\N","\N","911","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","arabischer Brief in elf Zeilen, eine Randzeile rechts und Vermerk über dem Text; oben hebräische Kritzeleien; unveröffentlicht","\N","\N","|16,8|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|24,5|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671 e 70-72; 1108 d 1-4","T","\N","\N","\N","\N","\N","\N","11","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1270,1","\N","\N","912","\N","\N","\N","\N","\N","\N","\N","T","\N","\N","\N","\N","\N","|24,5|","s. P.Heid. Inv. Arab. 912","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|12,5|","\N","\N","\N","\N","10","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671 g 66-68; 1322 a 1-6","T","\N","\N","\N","\N","\N","\N","12","Hebr.","\N","\N","\N","8.3.56 Prof. Goitein, Jerusalem
19.11.74 Jewish National University, Jerusalem
28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","A. Dietrich, Zum Drogenhandel im islamischen Ägypten. Eine Studie über die arabische Handschrift nr. 912 der Heidelberger Papyrus-Sammlung., Heidelberg 1954.","\N","\N","\N","\N","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1270 2","\N","\N","913","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|20,8|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|32,7|","24 Zeilen eines Briefes. Text überwiegend arabisch, dazwischen hebräische Pariten, die teilweise angefangene arabische Sätze fortsetzen.","\N","\N","\N","10","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671 f 62-64; 1108 e 1-4","T","\N","\N","\N","\N","\N","\N","13","Hebr. (arab)","\N","\N","\N","8.3.56 Prof. Goilem, Jerusalem
28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1269 a 2","\N","\N","916","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","nahezu unbeschädigtes Papier; unveröffentlicht.","\N","\N","|20,0|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|14,1|","arabische Rechnung, datiert Donnerstag 3. 478; darunter Nachtrag, datiert Muharram 479; darunter hebräische Abrechnung, Fortsetzung auf der Rückseite in zwei Kolumnen.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671 g 58-60; 1108 f 1-4","T","\N","\N","\N","\N","\N","\N","14","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","g 54-56; 1108 f 5+6; g 1+2; alte Aufnahme 1269 21","f","PSR","1415","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|4,5|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1904","\N","Schott","\N","\N","\N","\N","|1,7|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","671","T","\N","\N","\N","\N","\N","\N","15","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1269 b 2","e","PSR","1415","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|2,0|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1904","\N","Schott","\N","\N","\N","\N","|6,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","672 a 50-52; 1108 g 3+4","T","\N","\N","\N","\N","\N","\N","16","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","917","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","\N","\N","\N","|17,0|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|26,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","672 a 46-48; 1108 g 3+4 (5+6)","T","\N","\N","\N","\N","\N","\N","17","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg
12.1.88 Prof. Gil, Tel Aviv","S.D. Goitein, Bankers Accounts from the Eleventh Century A.D. , in: Journal of the Economic and Social History of the Orient 9 (196) 51ff.","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","PSR","1443","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|17,5|","\N","1997-06-21","\N","\N","\N","\N","\N","\N","\N","1904","\N","Schott","\N","\N","\N","\N","|11,3|","Ex 37,1b-5a","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","672 b 40-42; 1109 a 1-4","T","\N","\N","\N","\N","\N","\N","18","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
