"\N","\N","\N","d","\N","1604","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","||","11,5 x 17,0 und zwei kleine Fragmente","1998-07-04","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1026 b 5+7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","8","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 68.","\N","\N","verso frei","recto","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1605","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|15,2|","\N","1998-07-04","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|14,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 a 3-5, b 1-3; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","9","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 69.","\N","\N","Rückseite frei","Vorderseite","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","b","\N","13","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|16,0|","\N","1998-07-04","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|11,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","\N","T","\N","\N","\N","\N","\N","\N","\N","\N","10","\N","\N","1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 70.","\N","\N","Rückseite frei","Vorderseite","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","b","\N","1607","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","||","4,5 x 5,5; 8,0 x 11,5; 7,5 x 6,0; 3,3 x 5,0; 1,0 x 3,5","1998-07-04","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1028 b 4-6; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","11","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
26.2.1973 D. Weber, Göttingen
15.9.1982 D. Weber
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 71.","\N","\N","Rückseite frei","Vorderseite","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1608","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","||","17,0 x 16,0; 8,5 x 7,0; 16,0 x 3,2; s.  auch P.Heid. Inv. Pahl. 34","1998-07-04","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 f 1-3; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","12","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 72.","\N","\N","Rückseite frei","Vorderseite","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1609","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|14,0|","\N","1998-07-07","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|21,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 f 4+5; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","13","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 73.","\N","\N","s. eigenen Datensatz","recto","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1609","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|14,0|","\N","1998-07-07","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|21,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 f 4+5; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","13","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 73.","\N","\N","s. eigenen Datensatz","verso","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1610","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|14,0|","\N","1998-07-07","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|25,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 g 1+2; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","14","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 74.","\N","\N","s. eigenen Datensatz","recto","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1610","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|14,0|","\N","1998-07-07","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|25,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1029 g 1+2; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","14","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 74.","\N","\N","s. eigenen Datensatz","verso","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","1611","\N","\N","\N","\N","dokumentarisch","\N","\N","T","\N","\N","\N","\N","\N","|16,0|","\N","1998-07-07","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt, K.","\N","\N","\N","\N","|9,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","1026 c 3+4; 5 x 7; KB","T","\N","\N","\N","\N","\N","\N","\N","\N","15","\N","\N","4.9.1954 Prof. Hansen, Berlin
19.11.1971 Prof. Humbach, Mainz
15.9.1982 D. Weber
25.7.1985 Prof. Najmabadi, Heidelberg
1991/92 D. Weber","D. Weber, Corpus Inscriptionum Iranicarum III Phalavi Inscriptions: Ostraca, Papyri und Pergamente, London 1992, P. 75.","\N","\N","Rückseite frei","Vorderseite","\N","\N","Pahl.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
