"\N","\N","1272 a 1","\N","\N","90","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|11,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|25,0|","Urkunde. Oberer und unterer Rand erhalten. Joseph vom πατριμώνιον (Bezeichnung der Herkunft oder auch des Berufs, Verwalter des Patrimoniallandes o.ä., eine zweite, zerstörte Ortsbezeichnung folgt noch) schreibt über den Lebensunterhalt (διατροφή), den er NN zu geben pflegte. Es kommt zu einer Übereinstimmung (ὁμολογέω) in der Schlußzeile. – Clackson: 'writer is Joseph of Patrimon in the Hermopolite (el-Badramun, Timm 277).","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 529 c 1+2","T","\N","\N","\N","Urkunde","\N","\N","10","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Vorderseite","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","\N","\N","91","\N","\N","Rückseite frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|19,5|","\N","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|23,0|","Der untere Teil der Urkunde mit den Unterschriften, ein Unterzeichner stammt aus Schmun.","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 530 a 1","T","\N","\N","\N","Fragment einer Urkunde","\N","\N","11","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Vorderseite","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","I-III","P.Aeg.","12","\N","\N","s. eigenen Datensatz","Literarisch","literarisch","\N","5","T","\N","\N","Z. 1: Reste eines griechischen Protokolls in Pinselschrift mit dem Namen des Statthalters Abd-el-Aziz (685-705 n.Chr.). – Frg. 1-5 (= Taf. 1); Frg. 6 (= Taf. 2); Frg. 7 (= Taf. 3). – Maßangaben beziehen sich auf die Gesamtmaße der Rolle. – Rückseite: Griechische Notizen (ed. Bilabel VBP V p. 355-357). – Gefunden in einem Grab in Qarara. Eingewickelt in diesen Papyrus war P. Heid. Inv. Kopt. 13 (VBP V 125).","T","\N","|ca. 112|","nicht am Standort","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1914","\N","Bilabel, Grabung","\N","Qarara","\N","\N","|ca. 35|","Segenswünsche für ein Ehepaar","685","705","\N","\N","\N","\N","\N","\N","\N","\N","<P><B>Abbildungen in gr&ouml;&szlig;erem Ma&szlig;stab: <A HREF='http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/124/VBP_V_124.html' TARGET='Bild'>Hier!</A></B></P>","F. Bilabel, VBP IV p. 49.","\N","\N","\N","Papyrus","\N","\N","552 a+b 31-43","T","\N","124","\N","Segensgebet","\N","Frg. 1-7 (Taf. 1-3)","12","Kopt.","\N","\N","\N","30.11.1981 T. Orlandi, Rom","\N","\N","VBP","\N","Vorderseite","\N","\N","Koptisch","Publiziert","\N","\N","\N","\N","\N","\N","http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/124/VBP_V_124.html","\N","\N","\N","\N","\N","\N"
"\N","\N","Platte UB Nr. 98","\N","P.Aeg.","13","\N","\N","              ","Dokumentarisch","dokumentarisch","\N","5","T","\N","\N","Gefunden eingewickelt in P. Heid. Inv. Kopt. 12 (VBP V 124) in einem Grab in Qarara.","T","\N","|22,0|","Bei Neuverglasung (Photo) wurde festgestellt, daß gegenüber der alten Aufnahme das Stück stark gelitten hat, besonders Z. 8.10; Rücksprache mit Prof. Seider, 6.2.76, Zachmann.","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1914","\N","Bilabel, Grabung","\N","Qarara","\N","\N","|15,0|","Brief (privat) an einen Wohltäter (εὐεργέτης) und Vorsteher (προστάτης)
Verso: Adresse","\N","\N","\N","7","8","\N","\N","\N","\N","\N","<P><B>Abbildungen in gr&ouml;&szlig;erem Ma&szlig;stab: <A HREF='http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/125/VBP_V_125.html' TARGET='Bild'>Hier!</A></B></P>","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 530 b 1+2","T","\N","125","\N","Privatbrief","\N","\N","13","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","VBP","\N","Recto u. Verso","\N","\N","Koptisch","Publiziert","\N","\N","\N","\N","\N","\N","http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/125/VBP_V_125.html","\N","\N","2012-02-03","\N","\N","\N"
"\N","\N","\N","\N","P.Aeg.","14","\N","\N","Verso frei","Semi-literarisch","semi-literarisch","\N","5","T","\N","\N","Zeichnung","T","\N","|17,7|","\N","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1914","\N","Bilabel, Grabungen","\N","Qarara","\N","\N","|10,0|","Magie; Zaubertext","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","<P><B>Abbildungen in gr&ouml;&szlig;erem Ma&szlig;stab: <A HREF='http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/126/VBP_V_126.html' TARGET='Bild'>Hier!</A></B></P>","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 530 a 2","T","\N","126","\N","Fragment eines Zaubertextes","\N","\N","14","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","VBP","\N","Recto","\N","\N","Koptisch","Publiziert","\N","\N","\N","\N","\N","\N","http://www.rzuser.uni-heidelberg.de/~gv0/Papyri/VBP_V/126/VBP_V_126.html","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","b","\N","101","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|14,5|","\N","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|11,0|","Fragment, links und unten abgebrochen, Zahlenangaben. Z. 4: 'Euere heilige Herrschaft'; Notiz oder Abrechnung für einen Klostervorsteher?","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 530 c 1+2","T","\N","\N","\N","Fragment einer Urkunde","\N","\N","15","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","b","\N","101","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|14,5|","\N","1997-06-29","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|11,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 530 c 1+2","T","\N","\N","\N","Fragment einer Urkunde","\N","\N","15","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Verso","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","a","\N","102","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","Clackson","\N","T","\N","|11,5|","\N","1997-07-03","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|15,0|","Urkunde. Oberer und rechter Rand erhalten. Bittschrift (παρακλητική) an den ⲁⲙⲓⲣⲁ von Schmun von den 'unten Angeführten'. Nachdem die Schreibenden dem NN, dem Mann aus Schmun (oder auch Pl.) eine Sicherheitsurkunde ausgestellt haben (ἀσφαλίζω), scheinen sie jetzt um eine neue Regelung zu ersuchen, nach der sie bestimmte Verpflichtungen erst vom Datum des Briefes an zu erfüllen haben.","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 531 a 1+2","T","\N","\N","\N","Urkunde","\N","\N","16","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Vorderseite","\N","\N","Koptisch","In Bearbeitung","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","a","\N","102","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","Clackson","\N","T","\N","|11,5|","\N","1997-07-03","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|15,0|","\N","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 531 a 1+2","T","X","\N","\N","\N","\N","\N","16","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Rückseite","\N","\N","Koptisch","In Bearbeitung","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-03","\N","\N","\N"
"\N","\N","\N","b","\N","102","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|13,0|","\N","1997-07-03","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|7,0|","Brief. Die linke Seite in unbestimmter Breite abgebrochen, auch die rechte durch Löcher sehr zerstört. Z. 4: 'ich habe sie Apa Kosma gegeben'.","\N","\N","\N","9","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 531 b 1+2","T","X","\N","\N","\N","\N","\N","17","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Vorderseite","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-03","\N","\N","\N"
"\N","\N","\N","b","\N","102","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|13,0|","\N","1997-07-03","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","9","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 531 b 1+2","T","X","\N","\N","\N","\N","\N","17","Kopt.","\N","\N","\N","21.6.1976 W. Vycichl, Genf","\N","\N","\N","\N","Rückseite","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-03","\N","\N","\N"
